block,arity,internal_nodes,topology,M_anchor,eta_anchor,pattern,scientific_instance_hash,tree_hash,homogeneous_ambient_bound,homogeneous_projected_bound,nodewise_bound,nodewise_projected_bound,path_sum_bound,path_sum_projected_bound,mixed_mask_bound,optimized_order_bound,best_certified_bound,nodewise_over_homogeneous,projected_nodewise_over_homogeneous,seed_count_required,status
D,2,3,comb,0.75,0.1,root,2d8a39195cbab63836469a4493411cc2a89c91e093c76bb478de2f744257bc41,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.12656250000000002,0.084375,0.042271875,8.4375e-05,0.042271875,8.4375e-05,0.042314062500000006,0.042271875,0.042271875,0.33399999999999996,0.001,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.1,leaves,46f7f9f6c0ceb32ae67d162be67724d1d9d39c469cf6dc8ce960369376de0d1a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.12656250000000002,0.084375,0.04227187500000001,0.04222968750000001,0.04227187500000001,0.04222968750000001,0.08445937500000002,0.04227187500000001,0.04227187500000001,0.334,0.5005000000000001,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.1,deepest_path,ee034cbaa013ba6ddd348271ab286003683dd9f85d63f51cc4b241753360ece7,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.12656250000000002,0.084375,0.12656250000000002,0.084375,0.12656250000000002,0.084375,0.16875,0.12656250000000002,0.12656250000000002,1.0,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.1,alternating,783e2349dac75b45ad07fe438b50c0428449265590168727d87a5a2c46d0f83c,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.12656250000000002,0.084375,0.06359765625000001,0.031957031250000004,0.06359765625000001,0.031957031250000004,0.09523828125000001,0.06359765625000001,0.06359765625000001,0.5025,0.37875000000000003,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.1,random_log_uniform,1b715051a98af6382994b212247c855d2de826cfd31b078a47ba041d6ba44ea2,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.036043204457108596,0.024028802971405736,0.0034656992294237214,0.003163380129058105,0.0034656992294237214,0.003163380129058105,0.00362547898705611,0.0034656992294237214,0.0034656992294237214,0.09615402630329116,0.13164950966648342,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.1,one_dominant,d4102a0c0d6ff5c186911d0d5f8c7c15a1c913aff4b71a9a2b0e9a062d9c26b2,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.12656250000000002,0.084375,0.04227187500000001,0.04222968750000001,0.04227187500000001,0.04222968750000001,0.042314062500000006,0.04227187500000001,0.04227187500000001,0.334,0.5005000000000001,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.1,two_branches,0dcec52224201660c619e33d340351627c881c1813bdb6ed1306fd0b51d5f305,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.12656250000000002,0.084375,0.0844171875,0.084375,0.0844171875,0.084375,0.12660468750000003,0.0844171875,0.0844171875,0.6669999999999999,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.5,uniform,9f7911113bae0d3b130a2cf7efa187d2562e58db8c3a2381644d7c6cfcebaedd,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.6328125,0.421875,0.6328125,0.421875,0.6328125,0.421875,0.84375,0.6328125,0.6328125,1.0,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.5,root,6f815ab38a10c7e3d9e2ac5c4f79cff1807bb8990cfa85f442b784f693afd87a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.6328125,0.421875,0.211359375,0.00042187500000000005,0.211359375,0.00042187500000000005,0.2115703125,0.211359375,0.211359375,0.33399999999999996,0.001,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.75,0.5,leaves,43240b34096e468c82a6d85276dea64c4f09ec3470f5a8fae28df7ec690afbc7,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.6328125,0.421875,0.21135937500000002,0.2111484375,0.21135937500000002,0.2111484375,0.422296875,0.21135937500000002,0.21135937500000002,0.334,0.5005000000000001,10,COMPLETE_CERTIFICATE_INSTANCE
