tree_hash,internal_nodes,topology,mask,enabled_nodes,projected_error,ambient_error
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,5,2,0.010000000000000009,0.19924858845171275
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,6,2,0.010000000000000009,0.19924858845171275
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,7,3,0.02984962311319861,0.29750126050153136
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,8,1,0.0,0.0
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,9,2,0.0,0.099498743710662
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,10,2,0.0,0.099498743710662
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,11,3,0.009949874371066203,0.19824984237068136
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,12,2,0.0,0.099498743710662
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,13,3,0.009949874371066203,0.19824984237068136
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,14,3,0.009949874371066203,0.19824984237068136
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,15,4,0.02969999999999995,0.2960100167224076
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,16,1,0.0,0.0
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,17,2,0.0,0.099498743710662
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,18,2,0.0,0.099498743710662
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,19,3,0.009949874371066203,0.19824984237068136
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,20,2,0.0,0.099498743710662
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,21,3,0.009949874371066203,0.19824984237068136
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,22,3,0.009949874371066203,0.19824984237068136
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,23,4,0.02969999999999995,0.2960100167224076
