block,arity,internal_nodes,topology,dimension,requested_rank_ratio,projector_rank,eta,scientific_instance_hash,tree_hash,depth,strahler_number,ambient_lower,ambient_upper,projected_lower,projected_upper,dimension_two_embedded_lower_is_valid,larger_dimension_improvement_certified,seed_count_required,seed_evaluations_executed_full_core,optimizer_status,status
C,2,3,comb,8,0.75,6,0.0001,eb0101fc315e48873ad3d2599e09bead5a430e1a3667e145d88177f9fea5c368,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.9999999749999997,3.0,0.0002999999985,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,8,0.75,6,0.01,9c5620a6d7c61b6a8bbdb949354036114493564cc589489611070be45930b098,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.999750001250104,3.0,0.029998499962498124,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,8,0.75,6,0.1,edc9566bc7d4216b400ad0afea442956ffbb1cfa32c670a2a6fcff5752ac7cfa,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.975012605015313,3.0,0.298496231131986,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,8,0.75,6,0.5,51be406306226d4ffdb6d507ef2faae8fdb56f44f1683d5c593c7bd8af374494,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.384848003542364,3.0,1.2990381056766578,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,16,0.125,2,0.0001,072a47649f419dea3a691e1396ef353d64eab47c77c614a7de22d53f80858851,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.9999999749999997,3.0,0.0002999999985,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,16,0.125,2,0.01,837e5c4a80876ffcbe1e11f49921b281614d4975e8ca21734a6de1f01ac35e8d,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.999750001250104,3.0,0.029998499962498124,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,16,0.125,2,0.1,13476629c2faae5c698ecde907d14eaa0cd0f48a806bd2969419d75f56be53fa,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.975012605015313,3.0,0.298496231131986,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,16,0.125,2,0.5,617fe06f39fee598ca25c191c8a61ae966766d01e52e9007b5cbd91b64f46aad,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.384848003542364,3.0,1.2990381056766578,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,16,0.25,4,0.0001,d23aaa1884bf4ea75d996e3cd35fc0e61ce57dc1bbe512d3aa56d69e7be5986b,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.9999999749999997,3.0,0.0002999999985,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,16,0.25,4,0.01,686bfead3ed56199800a1aa7df60a76c785c2325790dc3292b8285ccc5cd1176,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.999750001250104,3.0,0.029998499962498124,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,16,0.25,4,0.1,6683a710b1e6a09b4cbc3e6599aaa6c1dce7a755fbb7c4b48d35b93114b1aa65,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.975012605015313,3.0,0.298496231131986,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,16,0.25,4,0.5,986464709aa2ce3adbe0641ab6ff67074f8a4090278c5dd68107a012f99bb156,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.384848003542364,3.0,1.2990381056766578,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,16,0.5,8,0.0001,d48868ff12933fd9d38ddd4635d59c25b2c05b4aded2d7c0db4c100821057458,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.9999999749999997,3.0,0.0002999999985,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,16,0.5,8,0.01,c8d29e703407203530d8cb3d8f434aede5b21a7acdced425a020036fe2cb3fd7,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.999750001250104,3.0,0.029998499962498124,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,16,0.5,8,0.1,5f9ff823fb28d5d4ef8088e3a4da8fd90c3d32f608fa860723c798aa9422dae3,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.975012605015313,3.0,0.298496231131986,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,16,0.5,8,0.5,b5f9817a195393f27d38d81aad234718c1df48262dab440276d651a89b0428c6,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.384848003542364,3.0,1.2990381056766578,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,16,0.75,12,0.0001,6e08155d4bc18619bee25a8875071ad50365474b554706d2c8fcbfd3f28380ca,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.9999999749999997,3.0,0.0002999999985,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,16,0.75,12,0.01,b26a43f528f0e9a2b9ac17ddccca9aee2c271007a38df20ebbeaa884b6b3e172,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.999750001250104,3.0,0.029998499962498124,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,16,0.75,12,0.1,25d86970d8d3f135b11f2b71ad1e1172986c428aed207e9c58d10660c47f151a,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.975012605015313,3.0,0.298496231131986,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,16,0.75,12,0.5,1ba2778632632f6da07bd40423d5b4654011a8f20d5979bf85607d5b6464f2d5,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.384848003542364,3.0,1.2990381056766578,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,32,0.125,4,0.0001,bc6daa4ccf9bf0616d851255ab59fdefd4a5ad14be25fd1719368f21a5de6ca2,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.9999999749999997,3.0,0.0002999999985,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,32,0.125,4,0.01,73a82c6d3e3ea469916e0f6e9192d518b995256807132a83980cb7bba48e6515,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.999750001250104,3.0,0.029998499962498124,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,32,0.125,4,0.1,db6de415b8ac30f99b6312ebd75664d52e602aefc18cff98af9b1e18c3590e07,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.975012605015313,3.0,0.298496231131986,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,32,0.125,4,0.5,c0a4303777053dd5da06216552a8dede1e98cb88792b37a27f38872cc7565b79,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.384848003542364,3.0,1.2990381056766578,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,32,0.25,8,0.0001,ff27d8f4ec4c13f167dad1f1a8372dd284db445ffc1820070d5e814905772e7e,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.9999999749999997,3.0,0.0002999999985,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,32,0.25,8,0.01,f1d53afe120e4279ec1043da03783ece3b96a5584288b6198f702e47511db524,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.999750001250104,3.0,0.029998499962498124,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,32,0.25,8,0.1,5e2ff0f02581db210c400eb0c8e505844958268deef13e898a6763ec855b5eca,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.975012605015313,3.0,0.298496231131986,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
