scientific_instance_hash,tree_hash,bound_family,bound,ratio_to_homogeneous
b3a19c2e60fe89fb9a638ebe505b8743353b1496e54bc118a00e979a2147a94b,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.00250125,0.667
fe8397a1c95950998fe5f395d32faeb29c2922d80907658522d91e34adcbc0b8,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.037500000000000006,1.0
fe8397a1c95950998fe5f395d32faeb29c2922d80907658522d91e34adcbc0b8,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.037500000000000006,1.0
fe8397a1c95950998fe5f395d32faeb29c2922d80907658522d91e34adcbc0b8,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.037500000000000006,1.0
fe8397a1c95950998fe5f395d32faeb29c2922d80907658522d91e34adcbc0b8,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.05,1.3333333333333333
fe8397a1c95950998fe5f395d32faeb29c2922d80907658522d91e34adcbc0b8,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.037500000000000006,1.0
3641c64c88049782ad2d128f4025402cb1a5be0a733b827b5049b4c5c9ae1739,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.037500000000000006,1.0
3641c64c88049782ad2d128f4025402cb1a5be0a733b827b5049b4c5c9ae1739,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.012525000000000001,0.33399999999999996
3641c64c88049782ad2d128f4025402cb1a5be0a733b827b5049b4c5c9ae1739,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.012525000000000001,0.33399999999999996
3641c64c88049782ad2d128f4025402cb1a5be0a733b827b5049b4c5c9ae1739,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.0125375,0.33433333333333326
3641c64c88049782ad2d128f4025402cb1a5be0a733b827b5049b4c5c9ae1739,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.012525000000000001,0.33399999999999996
9ea8b4a7bc4eddc795c5a128511fd4dce0a780f1b5c965bca8afd17f477eb674,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.037500000000000006,1.0
9ea8b4a7bc4eddc795c5a128511fd4dce0a780f1b5c965bca8afd17f477eb674,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.012525000000000001,0.33399999999999996
9ea8b4a7bc4eddc795c5a128511fd4dce0a780f1b5c965bca8afd17f477eb674,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.012525000000000001,0.33399999999999996
9ea8b4a7bc4eddc795c5a128511fd4dce0a780f1b5c965bca8afd17f477eb674,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.025025,0.6673333333333332
9ea8b4a7bc4eddc795c5a128511fd4dce0a780f1b5c965bca8afd17f477eb674,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.012525000000000001,0.33399999999999996
a00044a33f93ec4def644b0e01ef275364989353abcc0896c0b43202954fb5bf,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.037500000000000006,1.0
a00044a33f93ec4def644b0e01ef275364989353abcc0896c0b43202954fb5bf,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.037500000000000006,1.0
a00044a33f93ec4def644b0e01ef275364989353abcc0896c0b43202954fb5bf,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.037500000000000006,1.0
a00044a33f93ec4def644b0e01ef275364989353abcc0896c0b43202954fb5bf,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.05,1.3333333333333333
a00044a33f93ec4def644b0e01ef275364989353abcc0896c0b43202954fb5bf,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.037500000000000006,1.0
e92ce06317f74830f7af84d46ab153a08699826ead3edbdbb3f47e71eb78e035,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.037500000000000006,1.0
e92ce06317f74830f7af84d46ab153a08699826ead3edbdbb3f47e71eb78e035,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.018843750000000003,0.5025
e92ce06317f74830f7af84d46ab153a08699826ead3edbdbb3f47e71eb78e035,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.018843750000000003,0.5025
e92ce06317f74830f7af84d46ab153a08699826ead3edbdbb3f47e71eb78e035,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.028218750000000004,0.7525
e92ce06317f74830f7af84d46ab153a08699826ead3edbdbb3f47e71eb78e035,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.018843750000000003,0.5025
714fdfc1bb630746780b12725e98d21a5b5168c3c7db3da0ac9c19a94f9567c1,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.04335133171055411,1.0
714fdfc1bb630746780b12725e98d21a5b5168c3c7db3da0ac9c19a94f9567c1,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.015144847323197153,0.34935137458557153
714fdfc1bb630746780b12725e98d21a5b5168c3c7db3da0ac9c19a94f9567c1,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.015144847323197153,0.34935137458557153
714fdfc1bb630746780b12725e98d21a5b5168c3c7db3da0ac9c19a94f9567c1,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.024778476592209175,0.5715735968077936
714fdfc1bb630746780b12725e98d21a5b5168c3c7db3da0ac9c19a94f9567c1,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.015144847323197153,0.34935137458557153
2bfcfc359b760c2954d33958875c0db36a081b7349bfc2c2b687f774bf86fe1a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.037500000000000006,1.0
