run_path,experiment_id,status,epistemic_status,precision,seed,runtime_seconds,closure_leakage
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ALG_DENSE_FLOAT64/20260729T115945674676Z-b2b1c5060a4f,ALG_DENSE_FLOAT64,COMPLETE,NUMERICALLY_TESTED,float64,42,0.0876004999736324,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ALG_DENSE_FLOAT64/20260729T124628579291Z-b2b1c5060a4f,ALG_DENSE_FLOAT64,COMPLETE,NUMERICALLY_TESTED,float64,42,0.08937100000912324,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ASSOC_FIVE_INPUT/20260729T115719158564Z-d607e0281a16,ASSOC_FIVE_INPUT,COMPLETE,NUMERICALLY_TESTED,float64,42,0.07751959998859093,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ASSOC_FIVE_INPUT/20260729T115748982645Z-d607e0281a16,ASSOC_FIVE_INPUT,COMPLETE,NUMERICALLY_TESTED,float64,42,0.07366960000945255,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ASSOC_FIVE_INPUT/20260729T115842237680Z-d607e0281a16,ASSOC_FIVE_INPUT,COMPLETE,NUMERICALLY_TESTED,float64,42,0.07665240002097562,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ASSOC_FIVE_INPUT/20260729T115850863804Z-d607e0281a16,ASSOC_FIVE_INPUT,COMPLETE,NUMERICALLY_TESTED,float64,42,0.07693109998945147,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ASSOC_FIVE_INPUT/20260729T115946125647Z-d607e0281a16,ASSOC_FIVE_INPUT,COMPLETE,NUMERICALLY_TESTED,float64,42,0.07825810002395883,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/ASSOC_FIVE_INPUT/20260729T124628982259Z-d607e0281a16,ASSOC_FIVE_INPUT,COMPLETE,NUMERICALLY_TESTED,float64,42,0.07836019998649135,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/COHOMOLOGY_COMPATIBLE/20260729T115720020763Z-1aa650842d54,COHOMOLOGY_COMPATIBLE,COMPLETE,NUMERICALLY_TESTED,float64,42,0.08570430002873763,{}
C:/Documents/metamaths/seion-math-core/artifacts/runs/canonical_matrix/COHOMOLOGY_COMPATIBLE/20260729T115749890063Z-1aa650842d54,COHOMOLOGY_COMPATIBLE,COMPLETE,NUMERICALLY_TESTED,float64,42,0.07631580001907423,{}
