extremizer_id,tree_hash,eta,dimension,projector_rank,construction,error_type,certified_ratio_lower,certified_ratio_upper,tensor_formula,status
e3f1c9d23a77be9ccf10cfd89aa12e84a207098574c12c70dce63e8e1bf51961,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.1,2,1,gated_planar_rotation_embedded,normal,0.9949874371066199,0.9949874371066199,rotation_tensor,CERTIFIED_LOWER_BOUND
aec61cc2aeddf8a4cc9f52fd18a9f7031408320bcadf7aa76809554ca4d72fa0,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.1,3,1,gated_planar_rotation_embedded,ambient,0.9949874371066199,0.9949874371066199,rotation_tensor,CERTIFIED_LOWER_BOUND
aec61cc2aeddf8a4cc9f52fd18a9f7031408320bcadf7aa76809554ca4d72fa0,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.1,3,1,gated_planar_rotation_embedded,projected,0.0,3.4211388289180104e-47,rotation_tensor,CERTIFIED_LOWER_BOUND
aec61cc2aeddf8a4cc9f52fd18a9f7031408320bcadf7aa76809554ca4d72fa0,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.1,3,1,gated_planar_rotation_embedded,normal,0.9949874371066199,0.9949874371066199,rotation_tensor,CERTIFIED_LOWER_BOUND
74f3a9794fdeb9394f113dab4dfe65f1e6f0bfaee144e376c8979d5c4947e8c8,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.1,3,2,gated_planar_rotation_embedded,ambient,0.9949874371066199,0.9949874371066199,rotation_tensor,CERTIFIED_LOWER_BOUND
74f3a9794fdeb9394f113dab4dfe65f1e6f0bfaee144e376c8979d5c4947e8c8,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.1,3,2,gated_planar_rotation_embedded,projected,0.0,3.4211388289180104e-47,rotation_tensor,CERTIFIED_LOWER_BOUND
74f3a9794fdeb9394f113dab4dfe65f1e6f0bfaee144e376c8979d5c4947e8c8,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.1,3,2,gated_planar_rotation_embedded,normal,0.9949874371066199,0.9949874371066199,rotation_tensor,CERTIFIED_LOWER_BOUND
7ac96eb5cee5ac2e60bc3c742cd290a38885e14d0d434fea06b19fba76269aea,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.5,2,1,gated_planar_rotation_embedded,ambient,0.8660254037844386,0.8660254037844386,rotation_tensor,CERTIFIED_LOWER_BOUND
7ac96eb5cee5ac2e60bc3c742cd290a38885e14d0d434fea06b19fba76269aea,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.5,2,1,gated_planar_rotation_embedded,projected,0.0,4.1053665947016125e-48,rotation_tensor,CERTIFIED_LOWER_BOUND
7ac96eb5cee5ac2e60bc3c742cd290a38885e14d0d434fea06b19fba76269aea,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.5,2,1,gated_planar_rotation_embedded,normal,0.8660254037844386,0.8660254037844386,rotation_tensor,CERTIFIED_LOWER_BOUND
