key,cy_score,top10,origins,year,title,authors,venue,doi,arxiv,openalex,abstract
10.1016/j.physletb.2016.05.066,2,False,kw:openalex:CY2,2016,Bethe–Salpeter bound-state structure in Minkowski space,C. Gutierrez; V. Gigante; T. Frederico; G. Salmè; M. Viviani; Lauro Tomio,Physics Letters B,10.1016/j.physletb.2016.05.066,,https://openalex.org/W2397926219,"The quantitative investigation of the scalar Bethe–Salpeter equation in Minkowski space , within the ladder-approximation framework, is extended to include the excited states. This study has been carried out for an interacting system composed by two massive bosons exchanging a massive scalar, by adopting (i) the Nakanishi integral representation of the Bethe–Salpeter amplitude, and (ii) the formally exact projection onto the null plane. Our analysis, on one hand, confirms the reliability of the method already applied to the ground state and, on the other one, extends the investigation from the valence distribution in momentum space to the corresponding quantity in the impact-parameter space, pointing out some relevant features, like (i) the equivalence between Minkowski and Euclidean transverse-momentum amplitudes, and (ii) the leading exponential fall-off of the valence wave function in the impact-parameter space."
10.1016/j.jmaa.2014.11.044,2,True,fwd:OY02;kw:openalex:CY1;kw:openalex:CY4,2014,Compositions and convex combinations of averaged nonexpansive operators,Patrick L. Combettes; Isao Yamada,Journal of Mathematical Analysis and Applications,10.1016/j.jmaa.2014.11.044,1407.5100,W1998428773,Properties of compositions and convex combinations of averaged nonexpansive operators are investigated and applied to the design of new fixed point algorithms in Hilbert spaces. An extended version of the forward-backward splitting algorithm for finding a zero of the sum of two monotone operators is obtained.
10.1137/23m1621320,2,False,fwd:HRY20;fwd:OY02;fwd:RHY22;kw:openalex:CY1,2025,Convergence Analyses of Davis–Yin Splitting via Scaled Relative Graphs,Jong Min Lee; Soheun Yi; Ernest K. Ryu,SIAM Journal on Optimization,10.1137/23m1621320,,W4406666663,"Abstract. Davis–Yin splitting (DYS) has found a wide range of applications in optimization, but its linear rates of convergence have not been studied extensively. The scaled relative graph (SRG) simplifies the convergence analysis of operator splitting methods by mapping the action of the operator to the complex plane, but the prior SRG theory did not fully apply to the DYS operator. In this work, we formalize an SRG theory for the DYS operator and use it to obtain tighter contraction factors."
10.1137/140992291,2,False,fwd:CY15,2015,Convergence Rate Analysis of the Forward-Douglas-Rachford Splitting Scheme,Damek Davis,SIAM Journal on Optimization,10.1137/140992291,1410.2654,W1607518970,"Operator splitting schemes are a class of powerful algorithms that solve complicated monotone inclusion and convex optimization problems that are built from many simpler pieces. They give rise to algorithms in which all simple pieces of the decomposition are processed individually. This leads to easily implementable and highly parallelizable or distributed algorithms, which often obtain nearly state-of-the-art performance. In this paper, we analyze the convergence rate of the forward-Douglas--Rachford splitting (FDRS) algorithm, which is a generalization of the forward-backward splitting (FBS) and Douglas--Rachford splitting algorithms. Under general convexity assumptions, we derive the ergodic and nonergodic convergence rates of the FDRS algorithm, and show that these rates are the best possible. Under Lipschitz differentiability assumptions, we show that the best iterate of FDRS converges as quickly as the last iterate of the FBS algorithm. Under strong convexity assumptions, we derive convergence rates for a sequence that strongly converges to a minimizer. Under strong convexity and Lipschitz differentiability assumptions, we show that FDRS converges linearly. We also provide examples where the objective is strongly convex, yet FDRS converges arbitrarily slowly. Finally, we relate the FDRS algorithm to a primal-dual FBS scheme and clarify its place among existing splitting methods. Our results show that the FDRS algorithm automatically adapts to the regularity of the objective functions and achieves rates that improve upon the sharp worst case rates that hold in the absence of smoothness and strong convexity."
10.4153/cmb-2009-046-2,2,False,kw:openalex:CY3,2009,Covering Discs in Minkowski Planes,Horst Martini; Margarita Spirova,Canadian Mathematical Bulletin,10.4153/cmb-2009-046-2,,https://openalex.org/W1990498982,"Abstract We investigate the following version of the circle covering problem in strictly convex (normed or) Minkowski planes: to cover a circle of largest possible diameter bykunit circles. In particular, we study the casesk= 3,k= 4, andk= 7. Fork= 3 andk= 4, the diameters under consideration are described in terms of side-lengths and circumradii of certain inscribed regular triangles or quadrangles. This yields also simple explanations of geometric meanings that the corresponding homothety ratios have. It turns out that basic notions from Minkowski geometry play an essential role in our proofs, namely Minkowskian bisectors,d-segments, and the monotonicity lemma."
10.1088/0067-0049/182/2/477,2,False,kw:openalex:CY3,2009,DUST PROCESSING AND GRAIN GROWTH IN PROTOPLANETARY DISKS IN THE TAURUS-AURIGA STAR-FORMING REGION,B. A. Sargent; W. J. Forrest; C. Tayrien; M. K. McClure; Dan M. Watson; G. C. Sloan,The Astrophysical Journal Supplement Series,10.1088/0067-0049/182/2/477,,https://openalex.org/W2110961489,"Mid-infrared spectra of 65 T Tauri stars (TTS) taken with the Infrared Spectrograph (IRS) on board the Spitzer Space Telescope are modeled using populations of optically thin warm and cool grains to probe the radial variation in dust composition in the uppermost layers of protoplanetary disks. Most spectra with narrow emission features associated with crystalline silicates require Mg-rich minerals and silica, while a few spectra with these features suggest the presence of other components. IRS spectra indicating the presence of large amounts of warm enstatite of ∼400–500 K require crystalline silicates (enstatite or forsterite) at temperatures lower than the median temperature of the cool dust in the models, ∼127 K; spectra showing a high abundance of other crystalline silicates (forsterite or silica) typically do not. A few spectra show 10 μm complexes of very small equivalent width. They are fit well using abundant crystalline silicates but very few large grains, inconsistent with the expectation that a low peak-to-continuum ratio of the 10 μm complex always indicates grain growth. Most of the spectra in our sample are fit well without using the opacities of large crystalline silicate grains. If large grains grow by agglomeration of submicron grains of all dust types, the amorphous silicate components of these aggregates must typically be more abundant than the crystalline silicate components. We also find that the more there is of one crystalline dust species, the more there is of the others. This could suggest that crystalline silicates are processed directly from amorphous silicates, whether through evaporation of the amorphous grains and condensation in chemical equilibrium or by annealing of the amorphous precursors. Alternatively, if one kind of crystalline silicate transforms into another kind, it suggests that the intermediate species transforms into the end-product species at a slower rate than the precursor transforms into the intermediate species; other"
10.1109/lcsys.2026.3666550,2,False,fwd:RHY22,2026,Decomposition of Scaled Relative Graphs: A Mixed Systems Approach,Sebastiaan van den Eijnden,IEEE Control Systems Letters,10.1109/lcsys.2026.3666550,,W7130704954,"Scaled relative graphs provide a promising framework for graphical nonlinear system analysis, extending the classical Nyquist diagram for linear time-invariant systems. Unlike the Nyquist diagram, however, scaled relative graphs do not preserve information linking specific input regimes to corresponding output behaviours, which can lead to conservatism in feedback analysis. In this paper, we present a refined scaled relative graph frame-work that explicitly accounts for input-specific system behaviours. Drawing inspiration from mixed systems that exhibit different input–output properties under different input regimes, the proposed framework defines scaled relative graphs for subsets of inputs and outputs sharing specific features. We establish a feedback stability result based on the topological separation of input- and output-specific scaled relative graphs, and provide a systematicmethod for their construction using integral quadratic constraints."
10.3390/fractalfract7110806,2,False,kw:openalex:CY3,2023,Design and Performance Evaluation of a Second-Order Iterated Circular Minkowski Fractal Antenna for Ultra-Wideband Applications,Elijah Joseph; Pradeep Kumar; Thomas J. Afullo,Fractal and Fractional,10.3390/fractalfract7110806,,https://openalex.org/W4388407608,"In this article, a second-order iterated Circular Minkowski fractal antenna (CMFA) tailored for ultra-wideband (UWB) applications is designed and developed. Leveraging the power of Minkowski fractal geometry, this antenna design achieves a high gain across the UWB frequency spectrum. The design utilizes a circular groove on the ground plane and an arc slot on the radiating element for improving the antenna performance. The proposed antenna is fabricated using cost-effective material, an FR-4 substrate. The antenna is simulated and optimized. The fabricated optimized antenna undergoes real-world testing. Measured results reveal an impressive 120.6% impedance bandwidth spanning from 3.37 GHz to 13.6 GHz, with resonant frequencies at 4.43 GHz, 6.07 GHz, and 9.3 GHz. Meanwhile, the simulated results indicate an impedance bandwidth of 118% ranging from 3.17 GHz to 12.44 GHz. Real-world measurements validate the anticipated UWB traits, closely aligning with the simulation data, and confirming efficient impedance matching with a VSWR of less than 2 across the 3.37 GHz to 13.6 GHz frequency range. The radiation pattern analysis demonstrates a robust bidirectional E-plane pattern and a nearly omnidirectional H-plane pattern. This research introduces a highly promising circular Minkowski fractal antenna for UWB applications, offering exceptional bandwidth and resonance characteristics. This antenna design holds excellent potential for multi-functional wireless systems and opens avenues for enhanced UWB communication and sensing capabilities in diverse applications."
oa:https://openalex.org/W7155246646,2,False,kw:openalex:CY4,2026,Generalized Composed Alternating Relaxed Projection Algorithm for Two-Set Feasibility Problem,Xinxin Li; Yudong Wei; Hao Zhang,arXiv (Cornell University),,,https://openalex.org/W7155246646,"We study the two-set feasibility problem of finding a point in the intersection $X\cap Y$ of closed convex sets in a Hilbert space. We propose a generalized composed alternating relaxed projection algorithm (gCARPA) that blends Douglas-Rachford-type and projection-reflection-type dynamics via an outer averaging step $μ$ and an internal relaxation $(γ,θ,η)$. The algorithm contains several classical projection methods as special cases. We also introduce its non-stationary variant, in which $(γ_k,θ_k,η_k)$ vary over iterations, and establish its convergence. For the subspace feasibility model, we derive an explicit spectral characterization via principal-angle block decompositions, yielding computable subdominant-eigenvalue factors and a minimax parameter-selection recipe in a symmetric regime that targets critical damping on principal-angle planes. Numerical experiments illustrate that the generalized relaxation and its non-stationary tuning can improve or match baseline methods in problem-dependent regimes."
10.48550/arxiv.1902.09827,2,False,kw:openalex:CY1,2019,Generalized monotone operators and their averaged resolvents,Heinz H. Bauschke; Walaa M. Moursi; Xianfu Wang,arXiv (Cornell University),10.48550/arxiv.1902.09827,,https://openalex.org/W2916531788,"The correspondence between the monotonicity of a (possibly) set-valued operator and the firm nonexpansiveness of its resolvent is a key ingredient in the convergence analysis of many optimization algorithms. Firmly nonexpansive operators form a proper subclass of the more general - but still pleasant from an algorithmic perspective - class of averaged operators. In this paper, we introduce the new notion of conically nonexpansive operators which generalize nonexpansive mappings. We characterize averaged operators as being resolvents of comonotone operators under appropriate scaling. As a consequence, we characterize the proximal point mappings associated with hypoconvex functions as cocoercive operators, or equivalently; as displacement mappings of conically nonexpansive operators. Several examples illustrate our analysis and demonstrate tightness of our results."
10.1016/j.matdes.2022.110430,2,False,kw:openalex:CY3,2022,Harnessing elastic anisotropy to achieve low-modulus refractory high-entropy alloys for biomedical applications,Stephan Schönecker; Xiaojie Li; Daixiu Wei; S. Nozaki; Hidemi Kato; Levente Vitos,Materials & Design,10.1016/j.matdes.2022.110430,,https://openalex.org/W4210807921,"A high-priority target in the design of new metallic materials for load-bearing implant applications is the reduction of Young’s modulus approximating that of cortical bone in the predominant loading direction. Here, we explore how directionally preferential bulk elastic properties of implant materials are achieved by harnessing elastic anisotropy. Specifically focusing on recently proposed biocompatible refractory high-entropy alloys (RHEAs) in the body-centered cubic structure, we conduct systematic density-functional theory calculations to investigate the single-crystal elastic properties of 21 Ti-containing RHEAs. Our results provide evidence that the valence electron count has a dominant influence on elastic anisotropy and crystal directions of low Young’s modulus and high torsion modulus in the RHEAs. By means of modeling the orientation distribution function for crystallographic texture, we examine the effect of non-random texture on the anisotropic poly-crystalline Young’s modulus and torsion modulus with varying texture sharpness. We adopt fiber textures that can result from rolling and distinct texture orientations that can form during rapid directional solidification. We discuss the potential for lowering Young’s modulus in the RHEAs by using single crystals or textured aggregates. Furthermore, we prepare four of the theoretically considered alloys by arc-melting and report their lattice parameters, quasi-isotropic Young’s moduli, and Wickers hardnesses."
10.4007/annals.2004.159.1027,2,True,kw:openalex:CY3,2004,Holomorphic disks and topological invariants for closed three-manifolds,Peter Ozsváth; Zoltán Szabó,Annals of Mathematics,10.4007/annals.2004.159.1027,,https://openalex.org/W2053508424,"The aim of this article is to introduce certain topological invariants for closed, oriented three-manifolds Y , equipped with a Spin c structure.Given a Heegaard splitting of Y = U 0 ∪ Σ U 1 , these theories are variants of the Lagrangian Floer homology for the g-fold symmetric product of Σ relative to certain totally real subspaces associated to U 0 and U 1 ."
10.1081/nfa-200045815,2,False,fwd:OY02,2005,Hybrid Steepest Descent Method for Variational Inequality Problem over the Fixed Point Set of Certain Quasi-nonexpansive Mappings,Isao Yamada; Nobuhiko Ogura,Numerical Functional Analysis and Optimization,10.1081/nfa-200045815,,W2138146018,"The hybrid steepest descent method is an algorithmic solution to the variational inequality problem over the fixed point set of nonlinear mapping and applicable to broad range of convexly constrained nonlinear inverse problems in real Hilbert space. In this paper, we show that the strong convergence theorem [Yamada, I. (2001). The hybrid steepest descent method for the variational inequality problem over the intersection of fixed point sets of nonexpansive mappings. In: Butnariu, D., Censor, Y., Reich, S., eds. Inherently Parallel Algorithm for Feasibility and Optimization and Their Applications. Elsevier, pp. 473–504] of the method for nonexpansive mapping can be extended to a strong convergence theorem of the method for the variational inequality problem over the fixed point set of certain quasi-nonexpansive mappings called quasi-shrinking mapping. We also present a convergence theorem of the method for paramonotone variational inequality problem over the bounded fixed point set of quasi-shrinking mapping. By these generalizations, we can approximate successively to the solution of the convex optimization problem over the fixed point set of wide range of subgradient projection operators in real Hilbert space."
10.1088/0004-637x/782/2/76,2,False,kw:openalex:CY3,2014,IMPROVED REFLECTION MODELS OF BLACK HOLE ACCRETION DISKS: TREATING THE ANGULAR DISTRIBUTION OF X-RAYS,Javier A. García; Thomas Dauser; A. Lohfink; T. R. Kallman; James F. Steiner; J. E. McClintock,The Astrophysical Journal,10.1088/0004-637x/782/2/76,,https://openalex.org/W2008155829,"X-ray reflection models are used to constrain the properties of the accretion disk, such as the degree of ionization of the gas and the elemental abundances. In combination with general relativistic ray tracing codes, additional parameters like the spin of the black hole and the inclination to the system can be determined. However, current reflection models used for such studies only provide angle-averaged solutions for the flux reflected at the surface of the disk. Moreover, the emission angle of the photons changes over the disk due to relativistic light bending. To overcome this simplification, we have constructed an angle-dependent reflection model with the xillver code and self-consistently connected it with the relativistic blurring code relline . The new model, relxill , calculates the proper emission angle of the radiation at each point on the accretion disk and then takes the corresponding reflection spectrum into account. We show that the reflected spectra from illuminated disks follow a limb-brightening law highly dependent on the ionization of disk and yet different from the commonly assumed form I ∝ln (1 + 1/μ). A detailed comparison with the angle-averaged model is carried out in order to determine the bias in the parameters obtained by fitting a typical relativistic reflection spectrum. These simulations reveal that although the spin and inclination are mildly affected, the Fe abundance can be overestimated by up to a factor of two when derived from angle-averaged models. The fit of the new model to the Suzaku observation of the Seyfert galaxy Ark 120 clearly shows a significant improvement in the constraint of the physical parameters, in particular by enhancing the accuracy in the inclination angle and the spin determinations."
